the 1th sweep pathNo.,elemLabel
1,217
2,225
3,233
4,241
5,249
6,257
7,265
8,273
9,281
10,289
11,297
12,305
13,313
14,321
15,329
16,337
17,345
18,353
19,361
20,369
21,377
22,385
23,393
24,401
25,409
the 2th sweep pathNo.,elemLabel
1,218
2,226
3,234
4,242
5,250
6,258
7,266
8,274
9,282
10,290
11,298
12,306
13,314
14,322
15,330
16,338
17,346
18,354
19,362
20,370
21,378
22,386
23,394
24,402
25,410
the 3th sweep pathNo.,elemLabel
1,219
2,227
3,235
4,243
5,251
6,259
7,267
8,275
9,283
10,291
11,299
12,307
13,315
14,323
15,331
16,339
17,347
18,355
19,363
20,371
21,379
22,387
23,395
24,403
25,411
the 4th sweep pathNo.,elemLabel
1,220
2,228
3,236
4,244
5,252
6,260
7,268
8,276
9,284
10,292
11,300
12,308
13,316
14,324
15,332
16,340
17,348
18,356
19,364
20,372
21,380
22,388
23,396
24,404
25,412
the 5th sweep pathNo.,elemLabel
1,221
2,229
3,237
4,245
5,253
6,261
7,269
8,277
9,285
10,293
11,301
12,309
13,317
14,325
15,333
16,341
17,349
18,357
19,365
20,373
21,381
22,389
23,397
24,405
25,413
the 6th sweep pathNo.,elemLabel
1,222
2,230
3,238
4,246
5,254
6,262
7,270
8,278
9,286
10,294
11,302
12,310
13,318
14,326
15,334
16,342
17,350
18,358
19,366
20,374
21,382
22,390
23,398
24,406
25,414
the 7th sweep pathNo.,elemLabel
1,223
2,231
3,239
4,247
5,255
6,263
7,271
8,279
9,287
10,295
11,303
12,311
13,319
14,327
15,335
16,343
17,351
18,359
19,367
20,375
21,383
22,391
23,399
24,407
25,415
the 8th sweep pathNo.,elemLabel
1,224
2,232
3,240
4,248
5,256
6,264
7,272
8,280
9,288
10,296
11,304
12,312
13,320
14,328
15,336
16,344
17,352
18,360
19,368
20,376
21,384
22,392
23,400
24,408
25,416
