No.,weldNodeLabel,x,y,z,distance,time
1,1,-16.7497463226,-12.4651060104,28.3602676392,0.0,0.0
2,15,-18.889547348,-12.4651060104,27.982963562,2.17557111641,0.217557111641
3,29,-21.0623588562,-12.4651060104,27.982963562,4.35114297151,0.435114297151
4,43,-23.2021598816,-12.4651060104,28.3602676392,6.52671404849,0.652671404849
5,57,-25.2439346313,-12.4651060104,29.1034126282,8.70228544887,0.870228544887
6,71,-27.1256446838,-12.4651060104,30.1898174286,10.8778566159,1.08778566159
7,85,-28.7901134491,-12.4651060104,31.586473465,13.0534268855,1.30534268855
8,99,-30.1867694855,-12.4651060104,33.2509460449,15.2290002901,1.52290002901
9,113,-31.2731742859,-12.4651060104,35.1326522827,17.4045683627,1.74045683627
10,127,-32.0163192749,-12.4651060104,37.1744270325,19.5801398128,1.95801398128
11,141,-32.3936233521,-12.4651060104,39.3142280579,21.7557109572,2.17557109572
12,155,-32.3936233521,-12.4651060104,41.4870414734,23.9312847955,2.39312847955
13,169,-32.0163192749,-12.4651060104,43.6268424988,26.1068559505,2.61068559505
14,183,-31.2731742859,-12.4651060104,45.6686172485,28.2824274213,2.82824274213
15,197,-30.1867694855,-12.4651060104,47.550327301,30.4579986492,3.04579986492
16,211,-28.7901134491,-12.4651060104,49.2147941589,32.6335676194,3.26335676194
17,225,-27.1256446838,-12.4651060104,50.6114501953,34.8091381903,3.48091381903
18,239,-25.2439346313,-12.4651060104,51.6978569031,36.984710504,3.6984710504
19,253,-23.2021598816,-12.4651060104,52.4410018921,39.1602819709,3.91602819709
20,267,-21.0623588562,-12.4651060104,52.8183059692,41.3358530985,4.13358530985
21,281,-18.889547348,-12.4651060104,52.8183059692,43.5114250144,4.35114250144
22,295,-16.7497463226,-12.4651060104,52.4410018921,45.6869961908,4.56869961908
23,309,-14.7079715729,-12.4651060104,51.6978569031,47.862567726,4.7862567726
24,323,-12.8262624741,-12.4651060104,50.6114501953,50.0381393721,5.00381393721
25,337,-11.1617927551,-12.4651060104,49.2147941589,52.2137108701,5.22137108701
26,351,-9.76513671875,-12.4651060104,47.550327301,54.3892800143,5.43892800143
27,365,-8.67873096466,-12.4651060104,45.6686172485,56.5648518419,5.65648518419
28,379,-7.93558549881,-12.4651060104,43.6268424988,58.7404234933,5.87404234933
