the 1th sweep pathNo.,elemLabel
1,1
2,8
3,15
4,22
5,29
6,36
7,43
8,50
9,57
10,64
11,71
12,78
13,85
14,92
15,99
16,106
17,113
18,120
19,127
20,134
21,141
22,148
23,155
24,162
25,169
26,176
27,183
28,190
29,197
30,204
31,211
32,218
33,225
34,232
35,239
36,246
37,253
38,260
39,267
40,274
41,281
42,288
43,295
44,302
45,309
46,316
47,323
48,330
49,337
50,344
51,351
52,358
53,365
54,372
55,379
56,386
57,393
58,400
59,407
60,414
61,421
62,428
63,435
64,442
the 2th sweep pathNo.,elemLabel
1,2
2,9
3,16
4,23
5,30
6,37
7,44
8,51
9,58
10,65
11,72
12,79
13,86
14,93
15,100
16,107
17,114
18,121
19,128
20,135
21,142
22,149
23,156
24,163
25,170
26,177
27,184
28,191
29,198
30,205
31,212
32,219
33,226
34,233
35,240
36,247
37,254
38,261
39,268
40,275
41,282
42,289
43,296
44,303
45,310
46,317
47,324
48,331
49,338
50,345
51,352
52,359
53,366
54,373
55,380
56,387
57,394
58,401
59,408
60,415
61,422
62,429
63,436
64,443
the 3th sweep pathNo.,elemLabel
1,3
2,10
3,17
4,24
5,31
6,38
7,45
8,52
9,59
10,66
11,73
12,80
13,87
14,94
15,101
16,108
17,115
18,122
19,129
20,136
21,143
22,150
23,157
24,164
25,171
26,178
27,185
28,192
29,199
30,206
31,213
32,220
33,227
34,234
35,241
36,248
37,255
38,262
39,269
40,276
41,283
42,290
43,297
44,304
45,311
46,318
47,325
48,332
49,339
50,346
51,353
52,360
53,367
54,374
55,381
56,388
57,395
58,402
59,409
60,416
61,423
62,430
63,437
64,444
the 4th sweep pathNo.,elemLabel
1,4
2,11
3,18
4,25
5,32
6,39
7,46
8,53
9,60
10,67
11,74
12,81
13,88
14,95
15,102
16,109
17,116
18,123
19,130
20,137
21,144
22,151
23,158
24,165
25,172
26,179
27,186
28,193
29,200
30,207
31,214
32,221
33,228
34,235
35,242
36,249
37,256
38,263
39,270
40,277
41,284
42,291
43,298
44,305
45,312
46,319
47,326
48,333
49,340
50,347
51,354
52,361
53,368
54,375
55,382
56,389
57,396
58,403
59,410
60,417
61,424
62,431
63,438
64,445
the 5th sweep pathNo.,elemLabel
1,5
2,12
3,19
4,26
5,33
6,40
7,47
8,54
9,61
10,68
11,75
12,82
13,89
14,96
15,103
16,110
17,117
18,124
19,131
20,138
21,145
22,152
23,159
24,166
25,173
26,180
27,187
28,194
29,201
30,208
31,215
32,222
33,229
34,236
35,243
36,250
37,257
38,264
39,271
40,278
41,285
42,292
43,299
44,306
45,313
46,320
47,327
48,334
49,341
50,348
51,355
52,362
53,369
54,376
55,383
56,390
57,397
58,404
59,411
60,418
61,425
62,432
63,439
64,446
the 6th sweep pathNo.,elemLabel
1,6
2,13
3,20
4,27
5,34
6,41
7,48
8,55
9,62
10,69
11,76
12,83
13,90
14,97
15,104
16,111
17,118
18,125
19,132
20,139
21,146
22,153
23,160
24,167
25,174
26,181
27,188
28,195
29,202
30,209
31,216
32,223
33,230
34,237
35,244
36,251
37,258
38,265
39,272
40,279
41,286
42,293
43,300
44,307
45,314
46,321
47,328
48,335
49,342
50,349
51,356
52,363
53,370
54,377
55,384
56,391
57,398
58,405
59,412
60,419
61,426
62,433
63,440
64,447
the 7th sweep pathNo.,elemLabel
1,7
2,14
3,21
4,28
5,35
6,42
7,49
8,56
9,63
10,70
11,77
12,84
13,91
14,98
15,105
16,112
17,119
18,126
19,133
20,140
21,147
22,154
23,161
24,168
25,175
26,182
27,189
28,196
29,203
30,210
31,217
32,224
33,231
34,238
35,245
36,252
37,259
38,266
39,273
40,280
41,287
42,294
43,301
44,308
45,315
46,322
47,329
48,336
49,343
50,350
51,357
52,364
53,371
54,378
55,385
56,392
57,399
58,406
59,413
60,420
61,427
62,434
63,441
64,448
