No.,toeNodeLabel,x,y,z
1,7,15.0,22.0,0.0
2,20,14.9268331528,22.0602741241,-1.47974395752
3,33,14.7210474014,22.2263774872,-2.87937164307
4,46,14.3698167801,22.4987888336,-4.30213546753
5,59,13.8981876373,22.844209671,-5.64273071289
6,72,13.3032684326,23.2496814728,-6.92986679077
7,85,12.5942554474,23.6933231354,-8.14768218994
8,98,11.7771968842,24.1568241119,-9.28965187073
9,111,10.8729610443,24.6164073944,-10.3333778381
10,124,9.8223285675,25.087179184,-11.3367481232
11,137,8.66470432281,25.5348930359,-12.2443008423
12,150,7.40570163727,25.9450798035,-13.0443706512
13,163,6.05686616898,26.3031749725,-13.7227687836
14,176,4.62756872177,26.5974178314,-14.2683429718
15,189,3.12785410881,26.8174877167,-14.6702594757
16,202,1.58043718338,26.9536247253,-14.9165077209
17,215,2.4948890176e-11,27.0,-15.0
18,287,-1.58048474789,26.953622818,-14.9165039062
19,274,-3.12764215469,26.8175125122,-14.6703052521
20,328,-4.62770605087,26.5973930359,-14.2682991028
21,327,-6.0447716713,26.3060245514,-13.728099823
22,384,-7.38310670853,25.951751709,-13.0571727753
23,229,-8.66584682465,25.5344848633,-12.2434921265
24,241,-9.82247447968,25.0871181488,-11.3366222382
25,222,-10.8730430603,24.6163692474,-10.3332939148
26,303,-11.777258873,24.1567897797,-9.28957366943
27,250,-12.5942974091,23.6932983398,-8.14761734009
28,281,-13.3032808304,23.249671936,-6.92984390259
29,245,-13.8961210251,22.8456745148,-5.64781570435
30,230,-14.3685779572,22.4997253418,-4.30627059937
31,284,-14.7149238586,22.2312431335,-2.91049957275
32,380,-14.9278745651,22.059419632,-1.46920776367
33,300,-15.0,22.0,0.0
34,542,-14.9266605377,22.0604152679,1.48148727417
35,532,-14.720454216,22.2268486023,2.882396698
36,543,-14.3685541153,22.4997444153,4.30635070801
37,574,-13.894659996,22.8467102051,5.65140914917
38,581,-13.3109102249,23.2446727753,6.9151763916
39,562,-12.5895166397,23.6961536407,8.15500259399
40,545,-11.7520360947,24.170343399,9.32146072388
41,433,-10.8774662018,24.6142482758,10.3286361694
42,582,-9.76637649536,25.1104736328,11.3849868774
43,566,-8.66462135315,25.5349216461,12.2443580627
44,500,-7.38233757019,25.9519786835,13.0576057434
45,554,-6.05540466309,26.3035202026,13.7234115601
46,544,-4.62246179581,26.5983181,14.2699966431
47,536,-3.13243031502,26.8169498444,14.6692848206
48,538,-1.58021557331,26.9536380768,14.9165306091
49,494,-4.22420692175e-12,27.0,15.0
50,643,1.57879579067,26.9537220001,14.916683197
51,681,3.13077354431,26.8171443939,14.6696357727
52,660,4.62307929993,26.5982093811,14.2697982788
53,662,6.05695199966,26.303155899,13.7227287292
54,649,7.4057302475,25.9450702667,13.0443534851
55,685,8.66469764709,25.5348949432,12.244304657
56,720,9.82235050201,25.0871696472,11.336730957
57,677,10.8729896545,24.616394043,10.3333473206
58,721,11.7771692276,24.1568374634,9.28968811035
59,682,12.5942602158,23.693321228,8.14767456055
60,706,13.3033132553,23.2496509552,6.92977905273
61,675,13.8981761932,22.8442173004,5.64275741577
62,655,14.3698101044,22.4987945557,4.30215835571
63,729,14.7155122757,22.2307758331,2.90752792358
64,701,14.9280395508,22.0592842102,1.46752548218
65,7,15.0,22.0,0.0
