No.,weldNodeLabel,x,y,z,distance,time
1,8,15.6920795441,20.5437202454,0.0,0.0,0.0
2,21,15.6162033081,20.6084289551,-1.5850944519,1.58822820834,0.407238002137
3,34,15.3909873962,20.7968578339,-3.14430236816,3.1748463021,0.814063154383
4,47,15.0226507187,21.0937690735,-4.65616226196,4.75900176502,1.22025686283
5,60,14.5184526443,21.478969574,-6.10693359375,6.34245766301,1.62627119564
6,73,13.8756532669,21.9372940063,-7.50568389893,7.94861915588,2.03810747587
7,86,13.1161231995,22.4357528687,-8.80967330933,9.53787544207,2.44560908771
8,99,12.2380361557,22.9593143463,-10.0295696259,11.1295099794,2.85372050754
9,112,11.2451381683,23.4897079468,-11.1596603394,12.7245864056,3.26271446298
10,125,10.1417913437,24.0095005035,-12.1923885345,14.3227372254,3.67249672445
11,138,8.93274974823,24.5023822784,-13.1193618774,15.9239847396,4.08307301017
12,151,7.62432050705,24.9528141022,-13.9308643341,17.5281705594,4.49440270753
13,164,6.22452354431,25.3462467194,-14.6165027618,19.135752848,4.90660329436
14,177,4.74527263641,25.6689834595,-15.1650104523,20.746095339,5.31951162539
15,190,3.20171999931,25.9091396332,-15.5659065247,22.3588406358,5.73303606045
16,203,1.61777377129,26.0569953918,-15.8098773956,23.9682718286,6.14571072529
17,216,-1.377812697e-15,26.1074085236,-15.8925914764,25.58894301,6.56126743845
18,331,-1.61780714989,26.0569934845,-15.8098735809,27.2096477643,6.97683276007
19,298,-3.20190739632,25.909116745,-15.5658664703,28.8192379577,7.38954819429
20,306,-4.74550867081,25.6689395905,-15.1649360657,30.4320414639,7.80308755485
21,323,-6.22470283508,25.3462028503,-14.6164245605,32.0423331301,8.21598285388
22,231,-7.6245174408,24.952753067,-13.9307556152,33.6499479985,8.62819179448
23,336,-8.93316459656,24.5022277832,-13.1190738678,35.2544284966,9.0395970504
24,337,-10.1421089172,24.0093612671,-12.192117691,36.8555879286,9.45015075093
25,339,-11.2452602386,23.489648819,-11.159532547,38.4534852802,9.85986802058
26,341,-12.2381944656,22.9592247009,-10.0293712616,40.0486444119,10.2688831825
27,342,-13.1162223816,22.4356899261,-8.80952072144,41.6402024604,10.6769749898
28,282,-13.875658989,21.9372901917,-7.50567245483,43.2292797267,11.0844306992
29,269,-14.511800766,21.4838924408,-6.12345504761,44.8169732871,11.4915316121
30,344,-15.0185823441,21.0969734192,-4.66993331909,46.404190762,11.8985104518
31,345,-15.3890352249,20.7984676361,-3.15436553955,47.9926764351,12.3058144705
32,234,-15.6156711578,20.6088809967,-1.59063720703,49.5840762082,12.7138656944
33,312,-15.6920795441,20.5437202454,0.0,51.1778801138,13.1225333625
34,549,-15.6156625748,20.6088886261,1.59072494507,52.7717723065,13.5312236683
35,586,-15.3890237808,20.7984771729,3.15441894531,54.363138979,13.9392664049
36,511,-15.0185317993,21.0970134735,4.67010116577,55.9517486934,14.3466022291
37,588,-14.5116882324,21.4839763641,6.12372970581,57.5390944693,14.7536139665
38,589,-13.8756275177,21.9373130798,7.50573348999,59.1265521444,15.160654396
39,509,-13.1163015366,22.4356403351,8.80939865112,60.7154035696,15.5680521973
40,459,-12.2379932404,22.9593391418,10.029624939,62.3074582473,15.9762713455
41,571,-11.2451934814,23.4896831512,11.1595993042,63.9023746074,16.3852242583
42,513,-10.1420755386,24.0093765259,12.1921463013,65.5002180605,16.7949277078
43,556,-8.93309402466,24.5022544861,13.1191215515,67.10142014,17.2054923436
44,557,-7.6243519783,24.9528045654,13.930847168,68.7060071879,17.61692492
45,580,-6.22465658188,25.3462162018,14.616443634,70.3134780065,18.0290969247
46,467,-4.74374866486,25.6692676544,15.1654891968,71.925588899,18.442458692
47,450,-3.21146178246,25.9079265594,15.5638923645,73.526709209,18.8530023613
48,590,-1.61772620678,26.0569972992,15.8098831177,75.1461926517,19.2682545261
49,497,-3.33945677601e-16,26.1074085236,15.8925895691,76.7668159049,19.68379895
50,673,1.61267924309,26.0573139191,15.8103981018,78.3823651142,20.098042337
51,705,3.21159172058,25.9079093933,15.5638656616,80.0070561824,20.5146297904
52,639,4.75723409653,25.6667442322,15.161239624,81.6223823771,20.9288159941
53,769,6.2246761322,25.3462104797,14.6164360046,83.2201742904,21.3385062283
54,684,7.6243429184,24.9528083801,13.9308509827,84.8276129819,21.7506699953
55,665,8.93268489838,24.502407074,13.1194076538,86.4316891487,22.1619715766
56,751,10.1418056488,24.0094947815,12.1923751831,88.0330400531,22.5725743726
57,758,11.2451839447,23.4896869659,11.1596107483,89.6312409813,22.9823694824
58,697,12.2379236221,22.9593791962,10.0297088623,91.2260565411,23.391296549
59,767,13.1161203384,22.435754776,8.80967712402,92.8178760812,23.7994554054
60,692,13.8757734299,21.9372119904,7.50545120239,94.4074115426,24.2070286007
61,717,14.5184335709,21.4789829254,6.10697937012,96.0132475861,24.6187814323
62,664,15.0226249695,21.0937900543,4.6562461853,97.596664552,25.0247857826
63,757,15.3909873962,20.7968578339,3.14430236816,99.1809100276,25.4310025712
64,690,15.6162042618,20.6084289551,1.58508682251,100.767535754,25.8378296806
65,8,15.6920795441,20.5437202454,0.0,102.355756303,26.2450657187
